route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color,OBJECTID_1,route_desc,route_url
04663955,1,SEA1002,Streetcar - First Hill Revised,0,AD0101,ffffff,,,
6d393241,1,SEA1003,Streetcar - SLU Revised,0,AD0101,ffffff,,,
9fda70a6,1,SEA1004,Streetcar - Uptown,0,AD0101,ffffff,,,
453535a2,1,KCM1002,1002,3,C9500E,ffffff,,,
3713de4d,1,KCM1005,1005,3,C9500E,ffffff,,,
374a5eba,1,KCM1006,1006,3,C9500E,ffffff,,,
5e4b8d81,1,KCM1007,1007,3,C9500E,ffffff,,,
25112c9b,1,KCM101,101,3,D0BE25,ffffff,,,
f0df7cac,1,KCM1018,1018,3,C9500E,ffffff,,,
b26161b8,1,KCM1019,1019,3,C9500E,ffffff,,,
ab7acd95,1,KCM1025,1025,3,C9500E,ffffff,,,
afff8bcf,1,KCM1026,1026,3,C9500E,ffffff,,,
6ad0dd14,1,KCM1031,1031,3,C9500E,ffffff,,,
94880311,1,KCM1037,1037,3,C9500E,ffffff,,,
b5d4d69d,1,KCM1039,1039,3,C9500E,ffffff,,,
3754b2e0,1,KCM1040,1040,3,C9500E,ffffff,,,
d09a8a98,1,KCM1042,1042,3,C9500E,ffffff,,,
3a8a89aa,1,KCM1046,1046,3,C9500E,ffffff,,,
150d941c,1,KCM1068,1068,3,C9500E,ffffff,,,
599892de,1,KCM1074,1074,3,C9500E,ffffff,,,
ad29b9ce,1,KCM1075,1075,3,C9500E,ffffff,,,
ab921550,1,KCM1083,1083,3,C9500E,ffffff,,,
096746d6,1,KCM1085,1085,3,C9500E,ffffff,,,
7e669bf1,1,KCM1088,1088,3,C9500E,ffffff,,,
a6225536,1,KCM1213,1213,3,C9500E,ffffff,,,
467ac73e,1,KCM1214,1214,3,C9500E,ffffff,,,
bfd87d5b,1,KCM1215,1215,3,C9500E,ffffff,,,
456559c0,1,KCM1220,1220,3,C9500E,ffffff,,,
80ac67af,1,KCM1501,1501,3,C9500E,ffffff,,,
1c6e60bd,1,KCM1505,1505,3,C9500E,ffffff,,,
ca929ef4,1,KCM1511,1511,3,C9500E,ffffff,,,
af26f8f8,1,KCM1512,1512,3,C9500E,ffffff,,,
ebe59c36,1,KCM1513,1513,3,C9500E,ffffff,,,
268a3582,1,KCM1514,1514,3,C9500E,ffffff,,,
730987f5,1,KCM1515,1515,3,C9500E,ffffff,,,
774419c1,1,KCM162,162,3,066A40,ffffff,,,
72ee2755,1,KCM1994,1994,3,C9500E,ffffff,,,
b563ed01,1,KCM1997,1997,3,C9500E,ffffff,,,
3a72a82c,1,KCM1998,1998,3,C9500E,ffffff,,,
